1E BCH1A 1E Station
1E BCH2A 1E Station
1E BCH2B 1E Station
1E MONT4 1E Station
1E MONT5 1E Station
1E MONT7 1E Station
1E MONT8 1E Station
1T MTSB  MTSB
AM RAC91 7o Gymnasio Trikalwn
AM RAE55 RAE55
AM RB0CA AM station
AM RB0F0 AM Station
AM RB7D7 AM station
AM RB822 Izmir, Turkey
AM RBA9C AM station
AM RBBBF Liceo Scientifico Arturo Labriola, Naples, Italy
AM RC574 4o Gymnasio Lagkada, Lykeiakes Takseis
AM RC5E7 AM station
AM RC628 AM station
AM RCE1F Raspberry Shake
AM RD014 AM station
AM RD269 Raspberry Shake
AM RD2E2 AM station
AM RD4DB AM station
AM RD596 Sofia, Bulgary
AM RDAB6 AM station
AM RE002 AM station
AM RE7D0 saddsa
AM RE950 Gymnasio Diapolitismikhs Ekpaideushs Sapwn
AM REF37 Raspberry Shake
AM REFD9 AM station
AM RF201 Gymnasio Aposotlou Pavlou, Pafos, Cyprus
AM RF248 AM station
AM RF25A Ekpaideuthria Panou, Nafpaktos
AM RF3F9 AM station
AM RF463 B Dhmotiko Sxoleio Liopetriou, Cyprus
AM RF6E7 Raspberry Shake
AM RF765 AM station
AM RF7FF Lykeio Polemidiwn, Cyprus
AM RFE79 AM station
AM VTON  AM station
AN BRCR  Berchikul, Kuzbass, Russia
AN DGZ   Jazzator, Altay Republic, Russia
AN KNGR  Kungurtug, Tuva Republic, Russia
AN LUZB  Luzhba, Kuzbass, Russia
AN NVS   Novosibirsk, NSO, Russia
AP PVFF  AP Station
AR CCAZ  AR Station
AR FLAG  AR Station
AR GCAZ  AR Station
AR PGAZ  AR Station
AR SMAZ  AR Station
AR TSAZ  AR Station
AR WMZ   AR Station
AT AKUT  AT Station
AT CHGN  AT Station
AT CRAG  AT Station
AT MENT  AT Station
AT PMR   AT Station
AT SDPT  AT Station
AT SIT   AT Station
AT SKAG  AT Station
AT SMY   AT Station
AT TTA   AT Station
AU ARMA  AU Station
AU ARPS  AU Station
AU AS01  AU Station
AU AS02  AU Station
AU AS03  AU Station
AU AS04  AU Station
AU AS05  AU Station
AU AS06  AU Station
AU AS07  AU Station
AU AS08  AU Station
AU AS09  AU Station
AU AS10  AU Station
AU AS11  AU Station
AU AS12  AU Station
AU AS13  AU Station
AU AS14  AU Station
AU AS15  AU Station
AU AS16  AU Station
AU AS17  AU Station
AU AS18  AU Station
AU AS19  AU Station
AU AS31  AU Station
AU BBOO  AU Station
AU BCON  AU Station
AU BLDU  AU Station
AU BMEBF AU Station
AU BN2S  AU Station
AU BRAT  AU Station
AU BW1H  AU Station
AU BW2S  AU Station
AU CAAN  AU Station
AU CARL  AU Station
AU CMSA  AU Station
AU CN1H  AU Station
AU CN2S  AU Station
AU CNB   AU Station
AU COOLG AU Station
AU CORO  AU Station
AU CTA   AU Station
AU DLN   AU Station
AU DNDOZ AU Station
AU DPH   AU Station
AU DRS   AU Station
AU EIDS  AU Station
AU FITZ  AU Station
AU FITZ  Fitzroy Crossing, Western Australia
AU FORT  AU Station
AU GC1S  AU Station
AU GC2F  AU Station
AU GD1S  AU Station
AU GEXS  AU Station
AU GHSS  AU Station
AU GIRL  AU Station
AU GIRL  Giralia, WA
AU GLAD  AU Station
AU GVL   AU Station
AU H01W1 AU Station
AU H01W2 AU Station
AU H01W3 AU Station
AU HTT   AU Station
AU I03C1 AU Station
AU I03C2 AU Station
AU I03C3 AU Station
AU I03C4 AU Station
AU I03C5 AU Station
AU I03C6 AU Station
AU I03C7 AU Station
AU I03H1 AU Station
AU I03H2 AU Station
AU I03H3 AU Station
AU I03H4 AU Station
AU I03H5 AU Station
AU I03H6 AU Station
AU I03H7 AU Station
AU I03M1 AU Station
AU I04H1 AU Station
AU I04H2 AU Station
AU I04H3 AU Station
AU I04H4 AU Station
AU I04H5 AU Station
AU I04H6 AU Station
AU I04H7 AU Station
AU I04M4 AU Station
AU I05H1 AU Station
AU I05H2 AU Station
AU I05H3 AU Station
AU I05H4 AU Station
AU I05H6 AU Station
AU I05H7 AU Station
AU I05H8 AU Station
AU I06H1 AU Station
AU I06H2 AU Station
AU I06H3 AU Station
AU I06H4 AU Station
AU I06H5 AU Station
AU I06H6 AU Station
AU I06H7 AU Station
AU I06H8 AU Station
AU I06M1 AU Station
AU I07H1 AU Station
AU I07H2 AU Station
AU I07H3 AU Station
AU I07H4 AU Station
AU I07H5 AU Station
AU I07H6 AU Station
AU I07H7 AU Station
AU I07H8 AU Station
AU INKA  AU Station
AU KDU   AU Station
AU KELC  AU Station
AU KIM01 AU Station
AU KIM02 AU Station
AU KIM03 AU Station
AU KIM04 AU Station
AU KIM05 AU Station
AU KLBR  AU Station
AU KNRA  AU Station
AU KORDA AU Station
AU LCRK  AU Station
AU LHI   AU Station
AU MABG  AU Station
AU MANU  AU Station
AU MANU  Manus Island, Papau New Guinea
AU MAW   AU Station
AU MCQ   AU Station
AU MCQ   Macquarie Island, Australia
AU MEEK  AU Station
AU MENZ  AU Station
AU MGBR  AU Station
AU MGCD  AU Station
AU MILA  AU Station
AU MILA  Mila, NSW
AU MLBS  AU Station
AU MOO   AU Station
AU MORW  AU Station
AU MTKN  AU Station
AU MTN   AU Station
AU MTSU  AU Station
AU MUN   AU Station
AU NAPP  AU Station
AU NFK   AU Station
AU NIUE  Niue Island, Niue
AU NTLH  AU Station
AU NTLS  AU Station
AU NWAO  AU Station
AU OKDL  AU Station
AU ONGER AU Station
AU OOD   AU Station
AU PHB   AU Station
AU PTPS  AU Station
AU QLP   AU Station
AU RABL  AU Station
AU RIV   AU Station
AU RK1H  AU Station
AU RK2S  AU Station
AU RMQ   AU Station
AU SDAN  AU Station
AU STKA  AU Station
AU TOO   AU Station
AU TV1H  AU Station
AU TV2S  AU Station
AU TW1H  AU Station
AU WATNG AU Station
AU WB1   AU Station
AU WB2   AU Station
AU WB4   AU Station
AU WB5   AU Station
AU WB6   AU Station
AU WB8   AU Station
AU WB9   AU Station
AU WC1   AU Station
AU WC2   AU Station
AU WC3   AU Station
AU WC4   AU Station
AU WOLH  AU Station
AU WR1   AU Station
AU WR10  AU Station
AU WR2   AU Station
AU WR3   AU Station
AU WR5   AU Station
AU WR6   AU Station
AU WR7   AU Station
AU WR8   AU Station
AU WRKA  AU Station
